#Time_Logged	#Tx_Start	#Tone	#Lat	#Long	#Power	#Accuracy	#Mode
2024-03-14_15:42:43	2024-03-14_15:42:41	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:42:45	2024-03-14_15:42:43	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:42:46	2024-03-14_15:42:45	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:42:48	2024-03-14_15:42:46	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:42:50	2024-03-14_15:42:48	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:42:52	2024-03-14_15:42:50	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:42:54	2024-03-14_15:42:52	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:42:56	2024-03-14_15:42:54	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:42:58	2024-03-14_15:42:56	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:42:59	2024-03-14_15:42:58	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:01	2024-03-14_15:43:00	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:03	2024-03-14_15:43:01	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:05	2024-03-14_15:43:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:07	2024-03-14_15:43:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:09	2024-03-14_15:43:07	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:11	2024-03-14_15:43:09	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:12	2024-03-14_15:43:11	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:14	2024-03-14_15:43:12	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:16	2024-03-14_15:43:14	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:18	2024-03-14_15:43:16	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:20	2024-03-14_15:43:18	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:22	2024-03-14_15:43:20	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:23	2024-03-14_15:43:22	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:25	2024-03-14_15:43:24	2	40.7128	-74.006	0	1.0	Active
2024-03-14_15:43:27	2024-03-14_15:43:26	2	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:27	2024-03-14_15:43:27	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:28	2024-03-14_15:43:28	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:29	2024-03-14_15:43:29	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:31	2024-03-14_15:43:31	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:32	2024-03-14_15:43:32	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:33	2024-03-14_15:43:33	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:34	2024-03-14_15:43:34	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:35	2024-03-14_15:43:35	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_15:43:36	2024-03-14_15:43:36	2 kHz	40.7128	-74.006	0	1.0	Passive
